Provider,ClaimCount,total_reimbursed,mean_claim_amount,max_claim_amount,InpatientReimbursement,OutpatientReimbursement,Inp_Outp_Reimbursement_Ratio,AvgAge,PercDeceased,Avg_ChronicCond_Alzheimer,Avg_ChronicCond_Heartfailure,Avg_ChronicCond_KidneyDisease,Avg_ChronicCond_Cancer,Avg_ChronicCond_ObstrPulmonary,Avg_ChronicCond_Depression,Avg_ChronicCond_Diabetes,Avg_ChronicCond_IschemicHeart,Avg_ChronicCond_Osteoporasis,Avg_ChronicCond_rheumatoidarthritis,Avg_ChronicCond_stroke,UniqueDiagnosisCodeCount,UniqueProcedureCodeCount,TotalClaimCount,AvgMonthlyClaimCount,MaxMonthlyClaimCount,TotalReimbursementOverall,AvgMonthlyReimbursement,MaxMonthlyReimbursement,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,UniqueStates,UniqueCounties,PotentialFraud
PRV51015,8.0,700.0,87.5,200.0,0.0,700.0,0.0,71.125,0.0,1.5,1.125,1.5,1.625,1.5,1.125,1.0,1.125,1.625,1.625,1.875,17.0,0.0,8.0,1.3333333333333333,2.0,700.0,116.66666666666669,290.0,3.0,0.0,4.0,1.0,3.0,No
PRV51016,6.0,170.0,28.33333333333333,90.0,0.0,170.0,0.0,69.83333333333333,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.5,1.6666666666666667,1.6666666666666667,1.1666666666666667,1.1666666666666667,1.6666666666666667,1.5,1.8333333333333333,14.0,0.0,6.0,1.2,2.0,170.0,34.0,150.0,3.0,0.0,0.0,1.0,3.0,No
PRV51017,508.0,141920.0,279.37007874015745,3300.0,0.0,141920.0,0.0,71.74409448818898,0.0,1.578740157480315,1.4251968503937007,1.5826771653543308,1.8858267716535435,1.690944881889764,1.594488188976378,1.3208661417322836,1.25,1.641732283464567,1.7559055118110236,1.9074803149606296,671.0,0.0,508.0,39.07692307692308,53.0,141920.0,10916.923076923076,19840.0,113.0,0.0,69.0,9.0,59.0,No
PRV51021,253.0,348170.0,1376.1660079051385,57000.0,269000.0,79170.0,3.3977516736137425,72.01185770750988,0.0,1.6284584980237151,1.4308300395256917,1.5217391304347827,1.766798418972332,1.5968379446640315,1.5533596837944663,1.245059288537549,1.2371541501976284,1.7272727272727273,1.66798418972332,1.8932806324110671,472.0,14.0,253.0,19.46153846153846,31.0,348170.0,26782.30769230769,98520.0,69.0,7.0,41.0,4.0,34.0,Yes
PRV51023,34.0,65160.0,1916.470588235294,13000.0,54000.0,11160.0,4.838709677419355,72.17647058823529,0.0,1.5588235294117647,1.411764705882353,1.5588235294117647,1.8529411764705883,1.7058823529411764,1.5294117647058822,1.411764705882353,1.1470588235294117,1.7352941176470589,1.7941176470588236,1.8529411764705883,115.0,5.0,34.0,2.833333333333333,6.0,65160.0,5430.0,14800.0,14.0,4.0,6.0,1.0,7.0,No
PRV51024,39.0,64050.0,1642.3076923076924,13000.0,61000.0,3050.0,20.0,67.74358974358974,0.0,1.6153846153846154,1.4615384615384617,1.4102564102564104,1.871794871794872,1.641025641025641,1.5897435897435896,1.2307692307692308,1.2564102564102564,1.7179487179487178,1.641025641025641,1.8461538461538465,106.0,7.0,39.0,3.5454545454545454,6.0,64050.0,5822.727272727273,18430.0,13.0,1.0,8.0,2.0,10.0,No
PRV51025,87.0,118350.0,1360.344827586207,17000.0,86000.0,32350.0,2.6584234930448223,73.06896551724138,0.0,1.6781609195402298,1.4597701149425288,1.5402298850574712,1.8505747126436785,1.6781609195402298,1.528735632183908,1.264367816091954,1.2873563218390804,1.6436781609195403,1.7011494252873562,1.9310344827586208,200.0,9.0,87.0,6.6923076923076925,11.0,118350.0,9103.846153846154,22680.0,35.0,2.0,20.0,2.0,13.0,No
PRV51026,76.0,19840.0,261.05263157894734,3300.0,0.0,19840.0,0.0,69.11842105263158,0.0,1.605263157894737,1.5657894736842106,1.605263157894737,1.855263157894737,1.8026315789473684,1.486842105263158,1.263157894736842,1.3421052631578947,1.7763157894736843,1.6973684210526316,1.9210526315789476,127.0,0.0,76.0,6.333333333333333,11.0,19840.0,1653.3333333333333,3930.0,29.0,0.0,18.0,3.0,9.0,No
PRV51027,52.0,29770.0,572.5,3300.0,0.0,29770.0,0.0,72.23076923076923,0.0,1.5769230769230769,1.3269230769230769,1.4807692307692308,1.8269230769230769,1.7115384615384617,1.4230769230769231,1.2307692307692308,1.1730769230769231,1.807692307692308,1.75,1.8461538461538465,91.0,0.0,52.0,4.333333333333333,6.0,29770.0,2480.833333333333,5770.0,10.0,0.0,5.0,2.0,5.0,No
PRV51029,93.0,30660.0,329.6774193548387,3300.0,0.0,30660.0,0.0,70.41935483870968,0.0,1.6559139784946235,1.5161290322580645,1.6451612903225807,1.903225806451613,1.6881720430107527,1.6774193548387095,1.3333333333333333,1.2903225806451613,1.8172043010752688,1.6989247311827955,1.8602150537634408,187.0,0.0,93.0,7.75,11.0,30660.0,2555.0,7680.0,38.0,0.0,17.0,6.0,17.0,No
PRV51030,168.0,739010.0,4398.869047619048,57000.0,705600.0,33410.0,21.11942532175995,71.29761904761905,0.0,1.5714285714285714,1.3511904761904765,1.5297619047619049,1.8214285714285716,1.630952380952381,1.5595238095238095,1.2738095238095235,1.1904761904761905,1.7202380952380951,1.6607142857142858,1.922619047619048,454.0,39.0,168.0,14.0,17.0,739010.0,61584.16666666666,111330.0,45.0,1.0,23.0,2.0,14.0,No
PRV51031,179.0,358480.0,2002.68156424581,68000.0,329000.0,29480.0,11.16010854816825,71.94972067039106,0.0,1.5139664804469273,1.318435754189944,1.5195530726256985,1.893854748603352,1.6201117318435754,1.553072625698324,1.3016759776536313,1.1843575418994414,1.547486033519553,1.7094972067039107,1.899441340782123,363.0,18.0,179.0,13.76923076923077,21.0,358480.0,27575.384615384617,83340.0,59.0,2.0,26.0,4.0,29.0,No
PRV51032,22.0,5120.0,232.72727272727272,2900.0,0.0,5120.0,0.0,68.31818181818181,0.0,1.5909090909090908,1.318181818181818,1.5454545454545454,1.818181818181818,1.6363636363636365,1.5454545454545454,1.2727272727272727,1.318181818181818,1.818181818181818,1.7727272727272727,1.8636363636363635,42.0,0.0,22.0,2.2,4.0,5120.0,512.0,2970.0,9.0,0.0,8.0,3.0,5.0,No
PRV51035,27.0,32260.0,1194.8148148148148,29000.0,29000.0,3260.0,8.895705521472392,74.77777777777777,0.0,1.7037037037037035,1.4444444444444444,1.4074074074074074,1.851851851851852,1.6666666666666667,1.4074074074074074,1.2962962962962965,1.2222222222222223,1.6666666666666667,1.7407407407407407,1.7777777777777777,56.0,1.0,27.0,2.076923076923077,4.0,32260.0,2481.538461538461,29280.0,18.0,1.0,8.0,2.0,8.0,No
PRV51036,275.0,74760.0,271.8545454545455,4400.0,0.0,74760.0,0.0,72.13454545454546,0.0,1.6436363636363636,1.4254545454545455,1.6109090909090908,1.8872727272727272,1.661818181818182,1.52,1.2763636363636364,1.2727272727272727,1.6581818181818182,1.701818181818182,1.930909090909091,427.0,0.0,275.0,21.153846153846157,31.0,74760.0,5750.769230769231,17690.0,5.0,0.0,4.0,1.0,7.0,No
PRV51037,447.0,340410.0,761.5436241610738,23000.0,214000.0,126410.0,1.6929040424017088,71.4586129753915,0.0,1.5682326621923937,1.407158836689038,1.604026845637584,1.767337807606264,1.657718120805369,1.5503355704697988,1.3154362416107384,1.203579418344519,1.6263982102908277,1.7114093959731544,1.9351230425055927,641.0,9.0,447.0,34.38461538461539,45.0,340410.0,26185.384615384617,54130.0,3.0,1.0,1.0,1.0,7.0,Yes
PRV51038,137.0,264310.0,1929.2700729927008,17000.0,229600.0,34710.0,6.614808412561222,71.25547445255475,0.0,1.4963503649635037,1.3868613138686132,1.5474452554744529,1.8102189781021896,1.6934306569343065,1.562043795620438,1.2262773722627738,1.2116788321167884,1.6715328467153283,1.6788321167883211,1.897810218978102,309.0,11.0,137.0,10.538461538461538,17.0,264310.0,20331.53846153846,68680.0,44.0,2.0,20.0,3.0,15.0,No
PRV51040,83.0,73890.0,890.2409638554217,21000.0,63000.0,10890.0,5.785123966942149,70.6867469879518,0.0,1.5783132530120485,1.3855421686746987,1.6265060240963856,1.9156626506024097,1.6987951807228916,1.5301204819277108,1.2771084337349397,1.2409638554216869,1.7590361445783131,1.7710843373493976,1.867469879518072,187.0,6.0,83.0,6.384615384615385,10.0,73890.0,5683.846153846154,23430.0,15.0,3.0,10.0,2.0,10.0,No
PRV51041,34.0,7410.0,217.94117647058823,3200.0,0.0,7410.0,0.0,69.88235294117646,0.0,1.5294117647058822,1.5,1.7941176470588236,1.7058823529411764,1.7058823529411764,1.5588235294117647,1.3529411764705883,1.2941176470588236,1.7941176470588236,1.7352941176470589,1.9411764705882355,67.0,0.0,34.0,2.833333333333333,6.0,7410.0,617.5,3540.0,9.0,0.0,5.0,1.0,6.0,No
PRV51042,140.0,47950.0,342.5,3300.0,0.0,47950.0,0.0,72.00714285714285,0.0,1.65,1.4785714285714286,1.5928571428571427,1.8571428571428568,1.7142857142857142,1.6071428571428572,1.3928571428571428,1.2428571428571429,1.7714285714285714,1.7285714285714286,1.9071428571428573,236.0,0.0,140.0,11.666666666666666,19.0,47950.0,3995.8333333333335,9560.0,52.0,0.0,27.0,9.0,28.0,No
PRV51043,23.0,4480.0,194.7826086956522,1100.0,0.0,4480.0,0.0,73.6086956521739,0.0,1.6521739130434785,1.3043478260869563,1.6956521739130437,1.8695652173913044,1.6521739130434785,1.608695652173913,1.2173913043478262,1.3478260869565215,1.608695652173913,1.7826086956521738,2.0,40.0,0.0,23.0,2.555555555555556,5.0,4480.0,497.77777777777777,1170.0,6.0,0.0,4.0,2.0,4.0,No
PRV51044,56.0,21200.0,378.57142857142856,3300.0,0.0,21200.0,0.0,68.80357142857143,0.0,1.6071428571428572,1.4464285714285714,1.5,1.875,1.7142857142857142,1.625,1.4107142857142858,1.1428571428571428,1.625,1.6428571428571428,1.9285714285714288,110.0,0.0,56.0,5.090909090909091,8.0,21200.0,1927.2727272727277,4170.0,1.0,0.0,1.0,1.0,5.0,No
PRV51045,31.0,8390.0,270.64516129032256,3300.0,0.0,8390.0,0.0,70.90322580645162,0.0,1.4838709677419355,1.4516129032258065,1.5161290322580645,1.903225806451613,1.5161290322580645,1.5806451612903225,1.2580645161290325,1.2580645161290325,1.8064516129032255,1.8064516129032255,1.935483870967742,60.0,0.0,31.0,3.1,5.0,8390.0,839.0,3380.0,16.0,0.0,8.0,3.0,9.0,No
PRV51046,34.0,108570.0,3193.235294117647,38000.0,101000.0,7570.0,13.34214002642008,71.44117647058823,0.0,1.6176470588235294,1.4411764705882353,1.6470588235294117,1.7058823529411764,1.6176470588235294,1.5294117647058822,1.2058823529411764,1.088235294117647,1.6176470588235294,1.5588235294117647,1.911764705882353,104.0,5.0,34.0,2.833333333333333,5.0,108570.0,9047.5,42050.0,6.0,1.0,3.0,1.0,6.0,No
PRV51047,11.0,2530.0,230.0,1300.0,0.0,2530.0,0.0,70.0,0.0,1.7272727272727273,1.4545454545454546,1.6363636363636365,2.0,1.6363636363636365,1.6363636363636365,1.3636363636363635,1.3636363636363635,1.7272727272727273,1.6363636363636365,1.9090909090909087,22.0,0.0,11.0,1.5714285714285714,3.0,2530.0,361.4285714285714,1580.0,10.0,0.0,5.0,2.0,6.0,No
PRV51048,36.0,27010.0,750.2777777777778,7000.0,19000.0,8010.0,2.3720349563046192,69.55555555555556,0.0,1.4166666666666667,1.4166666666666667,1.6388888888888888,1.8611111111111112,1.6666666666666667,1.4722222222222223,1.1666666666666667,1.1944444444444444,1.7777777777777777,1.5,1.9722222222222223,86.0,3.0,36.0,3.6,7.0,27010.0,2701.0,13300.0,15.0,3.0,8.0,1.0,9.0,No
PRV51049,70.0,21700.0,310.0,3300.0,0.0,21700.0,0.0,70.08571428571429,0.0,1.542857142857143,1.3714285714285714,1.5714285714285714,1.8285714285714283,1.5142857142857142,1.5285714285714285,1.3142857142857145,1.3857142857142857,1.6857142857142855,1.7,1.9,132.0,0.0,70.0,5.384615384615385,9.0,21700.0,1669.2307692307693,4280.0,34.0,0.0,21.0,4.0,21.0,No
PRV51052,46.0,30800.0,669.5652173913044,9000.0,14000.0,16800.0,0.8333333333333334,71.1304347826087,0.0,1.673913043478261,1.3695652173913044,1.608695652173913,1.8695652173913044,1.7391304347826086,1.5869565217391304,1.4130434782608696,1.3043478260869563,1.673913043478261,1.7173913043478262,1.891304347826087,91.0,1.0,46.0,3.8333333333333335,7.0,30800.0,2566.6666666666665,9470.0,17.0,1.0,6.0,1.0,7.0,Yes
PRV51053,1.0,8000.0,8000.0,8000.0,8000.0,0.0,8000.0,68.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,9.0,1.0,1.0,1.0,1.0,8000.0,8000.0,8000.0,1.0,1.0,0.0,1.0,1.0,No
PRV51054,55.0,13310.0,242.0,1900.0,0.0,13310.0,0.0,70.01818181818182,0.0,1.6363636363636365,1.509090909090909,1.5454545454545454,1.963636363636364,1.6363636363636365,1.5818181818181818,1.490909090909091,1.4727272727272729,1.9090909090909087,1.8909090909090909,1.8909090909090909,115.0,0.0,55.0,4.583333333333333,7.0,13310.0,1109.1666666666667,2580.0,3.0,0.0,2.0,1.0,4.0,No
PRV51055,22.0,21640.0,983.6363636363636,16000.0,16700.0,4940.0,3.380566801619433,68.13636363636364,0.0,1.5454545454545454,1.318181818181818,1.6363636363636365,1.818181818181818,1.6363636363636365,1.4090909090909092,1.5,1.2272727272727273,1.681818181818182,1.681818181818182,1.8636363636363635,59.0,2.0,22.0,2.2,5.0,21640.0,2164.0,16000.0,6.0,1.0,3.0,1.0,8.0,No
PRV51056,22.0,14700.0,668.1818181818181,5000.0,8000.0,6700.0,1.1940298507462686,76.27272727272727,0.0,1.5454545454545454,1.4090909090909092,1.318181818181818,1.7727272727272727,1.7272727272727273,1.4545454545454546,1.0909090909090908,1.181818181818182,1.4545454545454546,1.7272727272727273,1.7727272727272727,60.0,1.0,22.0,2.2,4.0,14700.0,1470.0,7560.0,5.0,1.0,4.0,1.0,6.0,No
PRV51057,5.0,6830.0,1366.0,3300.0,0.0,6830.0,0.0,77.6,0.0,2.0,1.2,1.8,1.6,1.8,2.0,1.8,1.0,2.0,1.6,2.0,13.0,0.0,5.0,1.0,1.0,6830.0,1366.0,3300.0,1.0,0.0,1.0,1.0,1.0,No
PRV51058,81.0,106970.0,1320.617283950617,57000.0,91000.0,15970.0,5.698184095178459,72.95061728395062,0.0,1.617283950617284,1.4814814814814814,1.5925925925925926,1.8888888888888888,1.728395061728395,1.5061728395061729,1.2592592592592593,1.2098765432098766,1.6296296296296295,1.6790123456790125,1.8888888888888888,176.0,4.0,81.0,6.75,15.0,106970.0,8914.166666666666,57640.0,31.0,3.0,15.0,2.0,10.0,No
PRV51059,94.0,420660.0,4475.106382978724,57000.0,401000.0,19660.0,20.39674465920651,73.73404255319149,0.0,1.6702127659574468,1.351063829787234,1.5957446808510638,1.8404255319148937,1.6914893617021276,1.6063829787234043,1.351063829787234,1.297872340425532,1.702127659574468,1.7234042553191489,1.893617021276596,250.0,15.0,94.0,7.833333333333333,14.0,420660.0,35055.0,63180.0,30.0,11.0,14.0,1.0,17.0,Yes
PRV51060,42.0,43710.0,1040.7142857142858,14000.0,35000.0,8710.0,4.018369690011481,70.85714285714286,0.0,1.619047619047619,1.4047619047619049,1.5476190476190477,1.8571428571428568,1.619047619047619,1.5238095238095235,1.2142857142857142,1.2857142857142858,1.809523809523809,1.6904761904761905,1.9047619047619049,102.0,0.0,42.0,3.5,13.0,43710.0,3642.5,14000.0,28.0,0.0,8.0,2.0,15.0,No
PRV51061,143.0,54650.0,382.16783216783216,6700.0,3000.0,51650.0,0.058083252662149,76.4965034965035,0.0,1.7482517482517483,1.573426573426573,1.5944055944055944,1.853146853146853,1.7272727272727273,1.5314685314685317,1.2727272727272727,1.2727272727272727,1.6643356643356644,1.7412587412587412,1.916083916083916,235.0,1.0,143.0,11.916666666666666,17.0,54650.0,4554.166666666667,10920.0,6.0,1.0,5.0,2.0,5.0,No
PRV51062,386.0,148060.0,383.5751295336788,25000.0,45000.0,103060.0,0.4366388511546671,72.13471502590673,0.0,1.5621761658031088,1.3937823834196892,1.523316062176166,1.8290155440414508,1.7020725388601037,1.4792746113989637,1.2487046632124352,1.2901554404145077,1.6139896373056994,1.743523316062176,1.8704663212435235,569.0,3.0,386.0,29.692307692307693,43.0,148060.0,11389.23076923077,35200.0,6.0,3.0,1.0,1.0,12.0,No
PRV51063,147.0,50690.0,344.8299319727891,3300.0,0.0,50690.0,0.0,68.96598639455782,0.0,1.5714285714285714,1.3877551020408163,1.5510204081632653,1.8775510204081636,1.7074829931972788,1.5578231292517006,1.2925170068027212,1.217687074829932,1.7414965986394555,1.7210884353741496,1.8979591836734693,254.0,0.0,147.0,11.307692307692308,18.0,50690.0,3899.230769230769,8390.0,3.0,0.0,0.0,1.0,14.0,No
PRV51064,298.0,359680.0,1206.979865771812,37000.0,280000.0,79680.0,3.5140562248995986,72.3993288590604,0.0,1.640939597315436,1.3691275167785235,1.5436241610738255,1.87248322147651,1.640939597315436,1.523489932885906,1.2718120805369129,1.2046979865771812,1.6644295302013423,1.7013422818791946,1.8657718120805369,524.0,15.0,298.0,22.923076923076923,31.0,359680.0,27667.69230769231,71620.0,109.0,17.0,61.0,4.0,39.0,Yes
PRV51065,28.0,76570.0,2734.6428571428573,11000.0,75000.0,1570.0,47.77070063694268,74.64285714285714,0.0,1.5714285714285714,1.3214285714285714,1.6428571428571428,1.9642857142857144,1.6785714285714286,1.4285714285714286,1.2857142857142858,1.1785714285714286,1.7857142857142858,1.8214285714285716,1.75,101.0,8.0,28.0,2.333333333333333,5.0,76570.0,6380.833333333333,14000.0,9.0,1.0,4.0,1.0,6.0,No
PRV51066,23.0,24790.0,1077.8260869565215,15000.0,19000.0,5790.0,3.281519861830742,68.17391304347827,0.0,1.5217391304347827,1.391304347826087,1.6956521739130437,1.9130434782608696,1.7391304347826086,1.6956521739130437,1.434782608695652,1.2608695652173914,1.6956521739130437,1.7826086956521738,1.9130434782608696,60.0,2.0,23.0,2.090909090909091,3.0,24790.0,2253.6363636363635,15510.0,6.0,2.0,5.0,1.0,5.0,No
PRV51067,57.0,334510.0,5868.596491228071,83000.0,326000.0,8510.0,38.307873090481785,67.9298245614035,0.0,1.7017543859649122,1.350877192982456,1.5614035087719298,1.7894736842105263,1.7543859649122806,1.4385964912280702,1.280701754385965,1.2456140350877194,1.631578947368421,1.736842105263158,1.947368421052632,161.0,8.0,57.0,4.75,8.0,334510.0,27875.83333333333,137100.0,21.0,4.0,13.0,1.0,8.0,Yes
PRV51068,254.0,140190.0,551.9291338582677,19000.0,77000.0,63190.0,1.2185472384871023,70.28346456692914,0.0,1.625984251968504,1.4330708661417322,1.610236220472441,1.8503937007874016,1.7283464566929134,1.594488188976378,1.2913385826771653,1.3070866141732282,1.6968503937007875,1.7086614173228347,1.8858267716535435,446.0,3.0,254.0,19.53846153846154,26.0,140190.0,10783.846153846154,29560.0,78.0,3.0,44.0,2.0,13.0,No
PRV51070,98.0,124910.0,1274.591836734694,22000.0,101000.0,23910.0,4.224173985780008,69.46938775510205,0.0,1.7040816326530612,1.4489795918367347,1.6326530612244898,1.8265306122448977,1.7653061224489797,1.6122448979591837,1.2857142857142858,1.2551020408163265,1.7551020408163265,1.836734693877551,1.8775510204081636,207.0,4.0,98.0,7.538461538461538,15.0,124910.0,9608.46153846154,30300.0,46.0,4.0,14.0,5.0,20.0,No
PRV51071,24.0,8550.0,356.25,3200.0,0.0,8550.0,0.0,68.04166666666667,0.0,1.5,1.4166666666666667,1.6666666666666667,1.9166666666666667,1.625,1.4166666666666667,1.25,1.125,1.5833333333333333,1.7916666666666667,1.8333333333333333,50.0,0.0,24.0,2.1818181818181817,4.0,8550.0,777.2727272727273,3290.0,11.0,0.0,5.0,2.0,9.0,No
PRV51072,211.0,118470.0,561.4691943127962,14000.0,72000.0,46470.0,1.5493867010974822,71.80568720379146,0.0,1.6398104265402844,1.4454976303317535,1.5592417061611374,1.881516587677725,1.6445497630331751,1.6492890995260665,1.2606635071090049,1.246445497630332,1.6587677725118484,1.6682464454976302,1.914691943127962,374.0,6.0,211.0,17.583333333333332,22.0,118470.0,9872.5,22160.0,47.0,7.0,44.0,3.0,23.0,No
PRV51074,39.0,41170.0,1055.6410256410256,15000.0,31000.0,10170.0,3.048180924287119,72.46153846153847,0.0,1.6153846153846154,1.4102564102564104,1.5384615384615383,1.8461538461538465,1.6666666666666667,1.5384615384615383,1.2820512820512822,1.1282051282051282,1.641025641025641,1.7435897435897436,1.9743589743589745,101.0,1.0,39.0,3.0,6.0,41170.0,3166.923076923077,15840.0,14.0,1.0,4.0,5.0,14.0,No
PRV51075,17.0,8550.0,502.9411764705882,3000.0,0.0,8550.0,0.0,76.29411764705883,0.0,1.8235294117647056,1.6470588235294117,1.7647058823529411,1.588235294117647,1.7647058823529411,1.411764705882353,1.1764705882352942,1.0588235294117647,1.8235294117647056,1.5294117647058822,1.9411764705882355,35.0,0.0,17.0,1.8888888888888888,3.0,8550.0,950.0,4260.0,4.0,0.0,3.0,1.0,5.0,No
PRV51076,29.0,10230.0,352.7586206896552,3300.0,0.0,10230.0,0.0,75.20689655172414,0.0,1.5517241379310345,1.4137931034482758,1.5862068965517242,1.7241379310344829,1.827586206896552,1.6206896551724137,1.2413793103448276,1.103448275862069,1.6896551724137931,1.6206896551724137,1.862068965517241,55.0,0.0,29.0,2.4166666666666665,4.0,10230.0,852.5,3430.0,8.0,0.0,5.0,1.0,7.0,No
PRV51077,32.0,204320.0,6385.0,56000.0,199000.0,5320.0,37.40601503759399,69.875,0.0,1.5,1.25,1.375,1.84375,1.625,1.34375,1.15625,1.125,1.5,1.625,1.875,122.0,6.0,32.0,2.6666666666666665,8.0,204320.0,17026.666666666668,56000.0,11.0,1.0,4.0,1.0,4.0,Yes
PRV51078,23.0,78270.0,3403.043478260869,16000.0,76000.0,2270.0,33.480176211453745,70.21739130434783,0.0,1.6956521739130437,1.391304347826087,1.6956521739130437,1.8695652173913044,1.6521739130434785,1.565217391304348,1.3043478260869563,1.3043478260869563,1.6956521739130437,1.7826086956521738,1.826086956521739,88.0,6.0,23.0,2.3,5.0,78270.0,7827.0,25030.0,13.0,3.0,4.0,1.0,9.0,No
